job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
1,430,Financial Analyst,Financial Analyst - Reporting,"Austin, TX",Company Website,Full-time,False,California,2023-12-23,False,False,United States,year,89300.0,
2,322,Business Analyst,Business Analyst - Operations,"Seattle, WA",Job Board,Full-time,False,California,2023-03-24,False,True,United States,year,,
3,178,Product Analyst,Product Analyst - Reporting,"Seattle, WA",Job Board,Contract,False,Texas,2023-10-12,True,False,United States,year,81600.0,
4,484,Marketing Analyst,Marketing Analyst - Operations,"Austin, TX",Indeed,Full-time,False,United States,2023-06-21,True,True,United States,year,68600.0,
5,417,Marketing Analyst,Marketing Analyst - Product,"New York, NY",Company Website,Full-time,False,Texas,2023-10-31,False,True,United States,year,95900.0,
6,403,Data Analyst,Data Analyst - Reporting,Anywhere,Job Board,Full-time,True,Texas,2023-06-22,False,False,United States,year,64100.0,
7,328,Data Analyst,Data Analyst - Operations,"Seattle, WA",Job Board,Full-time,False,California,2023-07-29,False,False,United States,year,57000.0,
8,318,Business Analyst,Business Analyst - Insights,Anywhere,Indeed,Full-time,True,United States,2023-03-27,True,True,United States,year,103000.0,
9,333,BI Analyst,BI Analyst - Operations,"Boston, MA",Indeed,Full-time,False,New York,2023-03-02,True,True,United States,year,97300.0,
10,77,Data Analyst,Data Analyst - Operations,"Boston, MA",Company Website,Full-time,False,United States,2023-05-20,True,False,United States,year,60700.0,
11,455,Data Analyst,Data Analyst - Operations,"Austin, TX",Company Website,Full-time,False,Texas,2023-12-20,False,False,United States,year,72700.0,
12,228,Data Analyst,Data Analyst - Product,"New York, NY",LinkedIn,Full-time,False,Illinois,2023-07-31,True,False,United States,year,101800.0,
13,293,Business Analyst,Business Analyst - Reporting,"New York, NY",Company Website,Full-time,False,Texas,2023-06-01,True,False,United States,year,69400.0,
14,86,Data Analyst,Data Analyst - Insights,"Seattle, WA",Job Board,Full-time,False,California,2023-05-07,False,True,United States,year,,
15,42,Business Analyst,Business Analyst - Insights,"New York, NY",Indeed,Full-time,False,California,2023-12-09,False,False,United States,year,81600.0,
16,11,BI Analyst,BI Analyst - Insights,"San Francisco, CA",Job Board,Contract,False,California,2023-02-21,False,True,United States,year,84700.0,
17,385,Marketing Analyst,Marketing Analyst - Insights,"Boston, MA",LinkedIn,Contract,False,Illinois,2023-03-26,True,False,United States,year,104800.0,
18,102,Financial Analyst,Financial Analyst - Business Intelligence,Anywhere,Company Website,Full-time,True,New York,2023-11-27,False,True,United States,year,88300.0,
19,46,Data Engineer,Data Engineer - Product,"San Francisco, CA",Job Board,Contract,False,Illinois,2023-02-12,True,False,United States,year,125500.0,
20,190,Data Analyst,Data Analyst - Insights,"Chicago, IL",LinkedIn,Full-time,False,Illinois,2023-01-12,False,True,United States,year,94000.0,
21,62,Data Scientist,Data Scientist - Insights,Anywhere,Indeed,Full-time,True,New York,2023-12-21,False,True,United States,year,106800.0,
22,61,Data Analyst,Data Analyst - Insights,"Boston, MA",Company Website,Full-time,False,Texas,2023-08-01,True,False,United States,year,103000.0,
23,284,Data Analyst,Data Analyst - Business Intelligence,Anywhere,LinkedIn,Full-time,True,New York,2023-02-18,False,False,United States,year,115100.0,
24,75,Data Analyst,Data Analyst - Product,"Austin, TX",Job Board,Full-time,False,United States,2023-10-01,False,False,United States,year,,
25,318,Financial Analyst,Financial Analyst - Product,"Austin, TX",Job Board,Full-time,False,United States,2023-04-16,False,True,United States,year,99400.0,
26,145,Data Scientist,Data Scientist - Operations,"Seattle, WA",LinkedIn,Full-time,False,New York,2023-02-11,False,False,United States,year,107500.0,
27,480,Financial Analyst,Financial Analyst - Reporting,"Chicago, IL",Job Board,Full-time,False,United States,2023-05-11,False,True,United States,year,119900.0,
28,74,Data Analyst,Data Analyst - Operations,Anywhere,LinkedIn,Full-time,True,California,2023-01-08,True,True,United States,year,93400.0,
29,159,Marketing Analyst,Marketing Analyst - Business Intelligence,"Seattle, WA",Company Website,Full-time,False,Texas,2023-11-07,True,True,United States,year,70000.0,
30,25,BI Analyst,BI Analyst - Reporting,"San Francisco, CA",Indeed,Full-time,False,Illinois,2023-02-07,False,True,United States,year,,
31,452,Data Analyst,Data Analyst - Insights,"Seattle, WA",Job Board,Full-time,False,California,2023-10-12,False,False,United States,year,89800.0,
32,232,BI Analyst,BI Analyst - Product,"Boston, MA",Indeed,Full-time,False,New York,2023-04-08,True,False,United States,year,81300.0,
