job_id,skill_id
1,1
1,3
1,4
1,10
1,18
1,39
1,45
2,1
2,3
2,4
2,45
2,46
3,1
3,2
3,3
3,4
3,10
3,25
3,38
4,2
4,3
4,5
4,10
4,38
4,43
5,1
5,2
5,3
5,5
5,38
6,1
6,2
6,3
6,4
6,5
6,10
7,1
7,2
7,3
7,4
7,5
8,1
8,3
8,4
8,45
8,46
8,47
9,3
9,4
9,12
9,25
9,28
9,36
10,1
10,2
10,4
10,5
10,10
11,1
11,2
11,3
11,4
11,5
11,29
12,1
12,2
12,3
12,4
12,5
12,10
12,45
13,1
13,3
13,4
13,9
13,45
13,46
13,47
14,1
14,2
14,3
14,4
14,5
14,10
14,46
15,3
15,4
15,36
15,45
15,47
16,1
16,4
16,12
16,36
16,45
17,1
17,2
17,3
17,10
17,38
18,1
18,3
18,10
18,13
18,39
18,45
19,1
19,2
19,4
19,16
19,24
19,33
19,37
20,1
20,2
20,3
20,4
20,5
20,10
21,1
21,2
21,7
21,8
21,26
21,27
22,2
22,3
22,4
22,5
22,10
23,1
23,2
23,3
23,4
23,5
23,10
24,2
24,3
24,4
24,5
24,10
25,1
25,4
25,10
25,39
25,45
26,1
26,2
26,7
26,20
26,26
26,27
27,1
27,3
27,4
27,10
27,16
27,39
28,2
28,3
28,4
28,5
28,10
29,2
29,3
29,10
29,19
29,38
30,1
30,3
30,4
30,12
30,25
30,36
31,1
31,2
31,3
31,4
31,5
31,10
32,3
32,4
32,25
32,36
32,39
33,1
33,3
33,4
33,13
33,45
33,46
33,47
34,3
34,4
34,12
34,25
35,1
35,7
35,8
35,11
35,26
35,27
36,1
36,3
36,4
36,10
36,45
37,3
37,4
37,25
37,36
38,2
38,3
38,4
38,5
38,10
39,1
39,3
39,4
39,10
39,22
39,39
39,45
40,2
40,3
40,4
40,12
40,25
40,36
41,1
41,2
41,3
41,10
41,38
42,1
42,4
42,21
42,45
42,47
43,1
43,2
43,3
43,4
43,5
44,1
44,2
44,3
44,4
44,5
44,23
45,1
45,4
45,5
45,10
45,41
46,1
46,10
46,39
46,45
47,1
47,2
47,10
47,25
47,38
48,1
48,2
48,3
48,22
48,24
48,33
49,1
49,2
49,3
49,12
49,25
50,1
50,4
50,11
50,45
50,46
50,47
51,1
51,3
51,4
51,28
51,46
51,47
52,1
52,3
52,4
52,21
52,45
52,46
52,47
53,4
53,5
53,10
53,30
53,36
54,1
54,2
54,4
54,10
54,32
54,36
55,1
55,2
55,22
55,24
55,33
55,37
56,1
56,3
56,4
56,12
56,21
56,36
57,2
57,3
57,4
57,5
57,7
57,10
58,1
58,2
58,3
58,4
58,5
58,10
58,47
59,1
59,2
59,3
59,25
60,1
60,3
60,4
60,29
60,45
60,46
60,47
61,1
61,3
61,4
61,5
61,10
62,1
62,3
62,4
62,41
62,46
63,1
63,2
63,10
63,25
63,38
64,1
64,12
64,45
64,46
64,47
65,1
65,4
65,5
65,10
65,25
66,3
66,4
66,10
66,45
67,2
67,7
67,8
67,27
68,1
68,2
68,3
68,4
68,5
68,10
68,30
69,1
69,3
69,4
69,39
69,45
70,1
70,4
70,10
70,36
71,1
71,3
71,12
71,25
72,1
72,20
72,45
72,46
72,47
73,1
73,3
73,4
73,12
73,25
73,36
74,1
74,2
74,3
74,4
74,5
74,10
75,1
75,3
75,4
75,10
75,38
75,39
75,45
76,1
76,2
76,3
76,4
76,5
76,10
76,22
77,1
77,3
77,4
77,30
77,45
77,46
77,47
78,1
78,2
78,4
78,5
78,10
78,24
79,1
79,3
79,4
79,45
79,46
79,47
80,1
80,2
80,3
80,4
80,5
80,10
80,38
81,1
81,2
81,7
81,8
81,24
81,26
81,27
82,1
82,3
82,4
82,45
82,46
82,47
83,1
83,2
83,4
83,5
83,10
83,36
84,2
84,34
84,36
84,37
85,1
85,2
85,16
85,22
85,24
85,33
85,37
86,1
86,2
86,4
86,5
86,12
86,36
87,1
87,3
87,4
87,45
88,1
88,4
88,12
88,36
88,46
89,2
89,7
89,8
89,27
90,1
90,3
90,4
90,10
90,30
90,39
91,2
91,16
91,22
91,24
91,26
91,33
91,37
92,1
92,2
92,28
92,36
92,45
93,1
93,2
93,3
93,4
93,10
94,1
94,2
94,3
94,4
94,5
95,1
95,2
95,7
95,8
95,12
95,26
95,27
96,1
96,2
96,8
96,26
96,27
97,1
97,3
97,4
97,7
97,45
97,46
97,47
98,1
98,2
98,7
98,8
98,13
98,26
98,27
99,1
99,2
99,4
99,10
99,36
100,1
100,3
100,25
100,36
101,1
101,2
101,3
101,4
101,5
101,10
102,2
102,3
102,4
102,10
102,11
103,1
103,4
103,10
103,45
104,1
104,2
104,3
104,4
104,5
104,10
105,1
105,2
105,4
105,5
105,10
106,1
106,2
106,7
106,8
106,26
106,27
107,1
107,2
107,4
107,36
108,1
108,3
108,4
108,10
108,45
108,46
108,47
109,1
109,4
109,10
109,25
109,39
109,45
110,1
110,2
110,3
110,4
110,5
110,10
110,27
111,1
111,3
111,17
111,45
111,46
111,47
112,1
112,2
112,10
112,36
113,2
113,16
113,19
113,22
113,24
